#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J062904.52+313922.0	97.268836	31.656123	14.728	0.034	15.076	0.078	15.049	0.110	I	CBe	-
J052959.92+234120.2	82.499669	23.688969	13.568	0.027	13.960	0.037	13.831	0.041	I	CBe	-
J052839.82+264017.2	82.165958	26.671472	13.581	0.027	14.020	0.033	13.914	0.039	I	CBe	-
J065748.42+253251.1	104.45177	25.547541	15.329	0.044	15.627	0.139	15.370	0.151	I	CBe	-
J055413.96+370610.2	88.558168	37.102861	11.168	0.024	11.398	0.030	11.337	0.024	I	CBe	-
J055336.52+401846.2	88.402194	40.312859	9.675	0.024	10.159	0.028	9.949	0.022	I	CBe	Emission-lineStar
J051016.19+461603.3	77.56748	46.267592	12.670	0.025	12.847	0.031	12.784	0.028	I	CBe	-
J050657.38+490244.1	76.739094	49.045602	11.727	0.027	11.965	0.017	11.858	0.018	I	CBe	-
J052953.40+321857.5	82.472538	32.315985	11.421	0.024	11.991	0.019	11.926	0.020	I	CBe	-
J051415.94+334119.1	78.566446	33.688643	11.279	0.024	11.791	0.032	11.627	0.024	I	CBe	Emission-lineStar
J053237.14+260107.2	83.15475	26.018694	11.640	0.023	12.041	0.022	11.883	0.020	I	CBe	Emission-lineStar
